龙龙的二花,这部剧的编剧真的很好，陈芊芊的人设也没崩过，就是让你很堵，优柔寡断，得了便宜卖乖。这部剧非常高明的地方就是bug都是七流编剧陈小芊的剧本。如果说陈小芊的初心是裴恒，那么南镇的初心就是韩烁。这个男主角的人设包含了许多晋江萌点，符合了当代女孩子对于男朋友的一切幻想。而且当陈小芊穿书之后，这里面的剧情逻辑只剩下一些小bug，逻辑大问题上却反而能自恰了。所以说，6.1儿童节什么时候来！[OK]
小祺的掌上明猪,b站有望成为下一个微博，b站热搜应该比微博的便宜
雪碧更好喝一点,"只要我们点燃狼烟，挥师南下。
别说一个三公主了
连裴恒都是你的[tv_doge]"
耽美情报局,up你这有点蹭热度了，这部剧没有大家想的那么激进，他只是个无脑恋爱剧而已，被你这标题说的好像田园女权一样，恶意引战哦
秋裤子子,还有喷女权的，无语了，从头到尾没几个说什么崛起女权的，某些nt还自己提出来还刷好几遍，而且你自己不就是真正的在歧视吗？只可以拍男尊女卑的古装就不可以拍架空的女尊了？一拍就女权？我看你才是男👊吧
秋裤子子,上个热搜也用不着黑吧，又没有逼你点进来，恶意这么大干嘛，正常不想看的人连点都不会点进来吧……[囧]
柒月Qiue,烂就烂，但这和女权有啥关系？如果这算女权那之前的剧是不是都算男权？
鹿小彘,就这烂女权剧能上热搜？一帮女婊帮上热搜？不会吧？
蓝深灯,还是表达一下我的观点，这剧要是女权，那我们过去的历史剧都能算男权了。估计编剧也没想过这种把过去男尊女卑性转一下的剧情能引发争吵。可能他们只是想讽刺一些社会现象？在沙雕剧这里讲女权，还是男女主一个男尊女卑，一个女尊男卑，剧情全是谈恋爱，跟背景几乎不沾边的那种，有点无聊
不点赞把你给抬喽,就这烂女权剧能上热搜？一帮女婊帮上热搜？不会吧？
楚凝同学,哈哈哈这种剧本看着当个调剂挺好的，认真就只能躺平了，这个世界根本不可能有躺赢这回事
姬十三与梅花七,作为傻屌剧看还行 但是这剧也就那样 烂的不行
姬十三与梅花七,好看是好看 但是一直挂热搜 没双亲了？
瑞雪vam,确实说得好，我看的时候虽然挺欢乐但总感觉哪里不对，确实这个设定有点问题
人格优秀,看到弹幕有人撕乙女flag的，这没必要，而且滚动那个黄字有点太激动了，因为我看弹幕的时候只有说既视感的弹幕，也没说抄袭啥的，这样咬有点夸张，同一设定有些既视感真的挺正常的，而且弹幕也有人说了是12年用烂的设定
_-_-_-_-_-1,抖M狂喜
某艺电公司,硬是要挂热搜挂出来热度
黄吊金,男权警告
一如清霜,本来也没看剧的，偶然看到那个绿茶的片段，就开始了追剧之旅，接着就停不下来了哈哈哈哈
御坂12252号,这个不行啊，隔壁吉吉国王都是男女通吃，这个剧女性还会恨女主[滑稽]
白胖小萝卜,有没有人跟我一样抱着好奇的心态点进了热搜第一
雅佳佳,不是我喷，是男儿真的长得。。略憨。。[热词系列_知识增加]
仓鼠火锅,感觉男主攻受一体[热词系列_妙啊][热词系列_妙啊][热词系列_妙啊][热词系列_妙啊][热词系列_妙啊]
阿土的杨树,这剧情....怎么跟破灭flag这么像???
阿拉丁神邓啊,赶作业出来的作品吗？错漏百出！
不予可以,反正喷就喷吧，如果有想看的并且想看轻松的剧可以去看看的，毕竟挺沙雕的嘛，也没有到那种垃圾nt 剧的程度，认真你就输了[喜极而泣]
有就沾点Official,有仙王的感觉了，硬是要挂热搜挂出来热度
不予可以,为啥这么多人喷这部剧啊，本身就是沙雕剧啊，你非讲究逻辑你就输了[喜极而泣]
咲找姐慕找妈,我现在只想说，心疼二郡主。
阿茹茹,最新的评论都好恶毒啊，哪个对家看不下去出手了呀
王明明的么么哒,这剧情。。。perfect half？
叶言紫,和转生乙女好像啊[捂脸]
微笑986,少君是什么称呼？是少城主夫君的意思么？
tony带师,什么垃圾剧，热搜挂几天
皙楌,"这里的台词都非常的妙啊！
[doge]"
木枯,还搁着热搜呢
给我高高地飞起来啊-,在热搜上多久了，看得都烦
红豆入骨相思知不知,这部剧虽然是甜宠喜剧，但其实很多情节都在讽刺[吃瓜]
B站经典三观正嗷,nt剧，占了多久的热搜第一了
穷纪二三,我想说其实不是女尊，从第一集开始编剧想表达的思想就是男女平等，很多人冲着女尊去看，发现不是想象中那样就开始黑。其实把同样的事情放到另一个性别上，就会发现多么不合理，这部剧很有讽刺意味，虽然不完美，但真的很值得一看。
bili_45190271402,人家那叫“心疾”，不叫“心脏病”虽然差不多吧，但概念上还是有点差距的
乐哈小橘子,你大概可能就看了一点吧
成为富婆的女人,Up解说一部剧或电影的时候还是自己去认真看一下吧，没必要照词念
姿兰容若,说得挺好的
可便宜复制,有棒子意淫内味儿了
黑云狂犬,[鸡腿]
教练我想学电焊,最新评论好恶毒啊[doge]
青蛙长老,我就叫裴恒
我再灯火阑珊处,我女朋友强烈推荐传闻中的陈芊芊，我之前看都不看就知道是烂片。一看果然唉😔愁，玩梗步入小说现在电视剧梗落后网文一两年。剧情不能深究，而且模板化太严重。演员总感觉出戏，功底太差。
二蛋不是坏蛋,烂片来的，有资本在故意推这部剧，豆瓣都在刷分，谁看谁眼瞎
しきんちゃん,那些建议仔细看的别了吧，bug更多，怎么可能没有bug，有解释的认为那不是bug的，说实话其实那因果联系也不是很细致，蛮直接片面的，细究不得的。
チアキかわいい,热搜[呲牙]
Miss糖火烧,居然知道橙光游戏[呲牙]
50707112831_bili,无聊
一顾孤舟,这剧真的有意思，有时候觉得挺讽刺，但是好搞笑
Joan佳,这和女帝的后宫好像啊[笑哭]
堇年呀あ,怎么这个热搜挂了好几天了
巴拉巴拉盍,有男同志在追这部剧吗[doge]
咿呀咿呀夏夏,我还是忘不了太子妃升职记
望山--,哈
羊村杨小白,大家都换口味了？
了了老铁锤,你没认真看！！！
惟有朝云能识我,up直接在弹幕里就被剧粉爆破了[吃瓜]
oneone泽揉,我要加入男女主摁头小队[妙啊]
星辰之涌,珍惜看，好几个解说的up稿件因为版权都下架了
と黑线仓鼠如是说,弹幕礼仪呢？？？
小歌迷-,还是要好好看剧吧，强行说缺点有点尴尬。很多都在剧情里说了，up以后文案还是要严谨一点
明户州,好烦啊，为什么这种俗不可耐的剧天天在热搜上待着，营销过度了吧。[奸笑]
戚城橙,我觉得，up这期做的敷衍了就是敷衍了，你要做一个解说类视频不应该好好看片再说吗？为什么置顶一个说没看太认真，反而一群人说喂狗粮？这的确是不对的啊！这片很多缺点，但是点说错了被指出错误这不是很正常吗
昂是我吖,真的被这部剧笑死，男主太乖了，哈哈哈哈，好苏！
张三是霸道总裁呀,穿进小说游戏是很老的套路了，真没必要刷转生，感觉怪怪的
郑子恒啊,为啥每次都会被这只狗头种草或者说是排雷，不想被狗头支配了，太难了[doge][doge][doge]
小狗熊软糖,新的几集我感觉怎么吸引不到我了哎
誓言逝,这个情节和世界观我好像在某个粉色app上看过啊
老骥伏枥随风直到夜郎西,不会吧不会吧还不会真的有人认为没人看逻辑一般的沙雕剧吧[doge][doge][doge][妙啊]
楚妃Angel,这个剧果然没让人失望，刚看完超前点播回来，回网盘再刷一遍[捂脸]
海信空调官方账号,"万水千山总是情，给个关注行不行
[撇嘴]"
食色666,女尊男卑这个设定就很吸引我啦，这样的设定在电视剧里不是很少见吗？
花潮玖,男主真的越看越帅，我就真香了哈哈哈哈哈
工作细胞突然诈尸14集,作为一个看书二十年的老书虫，这种套路中日韩的小说也很多，感觉都是套路到不行，偶尔来个新瓶装旧酒，腻了一段时间再看又觉得不错[热词系列_可以]
滕滕滕哦,"不带脑子，挺有意思。
带脑子看，发现一开始的定义就是噱头，巧合太多，逻辑不通[无语]。"
耽美情报局,up🆙你后面根本没认真看吧
人间一抹白啊,大家不至于啊，片片也全是间接推荐了。还有这就是个沙雕小甜剧啊，还得要多认真看啊。看看开心开心就够了  我觉得挺好哒
人间一抹白啊,神特么蝙蝠成精哈哈哈哈
本座桃子,女尊啊。。。很多网文都有这个套路，不过能拍成电视剧还是挺新鲜的[吃瓜]
无柳相赠别鬼谷,性别反转不是平权。这个剧好在不搞对立，故事符合人物形象和剧本设定，轻轻松松的氛围，拍一个完整的故事给大家看。
人间一抹白啊,讽刺可以的
__GrandeAmore,女主人设不行
bili_噤声,什么烂东西都能上热搜恶心
七亞7iya,但凡认真看都会发现很多地方逻辑不通，我觉得up说的一点都没错甚至有很多情节没吐槽到位，就这还有人说up硬黑？你们平时看烂剧看多了吗，稍微有部剧好一点就吹上天，硬要扯bug都有解释，那我倒是有多问题求你们这些只会跟风安利的带师解释。剧我还是会看的，头几集也确实好看，有亮点，值得肯定。[鸡腿]
寻觅作恶伙伴,这个剧bug没那么多，up提到的剧里有解释 ，不知道up是安利还是黑
单马尾的茶茶,好丑
狗哥头号fan丝,这剧叫什么啊
-松下折露葵,哈哈哈，我是没想到敢拍女尊系列的
Fau_,女尊就是一种背景设定啊，对应的就是古代男尊那种制度。我看过的女尊文绝对不下100本了，这两年好文越来越少了。女尊的代表作有狼大的《美男十二宫》《笑拥江山美男》《醉拥江山美男》还有《女尊之解战袍》…可多可多了。我最喜欢《酒色江湖》这个算是女尊一种。反正，狼大的书在我心中的女尊排行里无出其右。（不是很想科普，因为有很多看文的人才接受的设定，比方说男生子🙂，希望未来不会像耽美一样被人举报掉😐，但目前生态挺好的，还没有人注意过，也没听说有不喜欢的人非要举报。就是好作者越来越少，原来的不错，也是因为受众小，读者少啦）但希望大家能知道女尊就是一个和耽美类似的小众类型标签而已，不是弹幕里说的反讽啊啥的，就是个单纯的文章类型。
恰恰Arthur钧,昨天看另外一位up解说没看完，结果回去看的时候发现因版权被删了[笑哭]
Fau_,女尊是一种文章类型啊[大哭]就和耽美一样[大哭][大哭][大哭]好多好多好多好多年了，我十年前看就有很好的大大了[大哭][大哭][大哭][大哭]就是很小众而已。
贝子塔塔,最后那里不太同意啊，
御板10097,什么玩意都能上热搜。
fsks1944,就开头几集好看，后面啥玩意。
微笑986,少君？是什么称呼？少城主的夫君么？
特拉先生,第一集，现实里的男主就抨击过编剧的剧本表面上说的是女权实际上和当代男权没有区别[无语]我正在追，感觉女主入剧本就是为了能亲身感受男女权如何平等
tubudar,前面是好看的，但我昨天看了9，10集后，就有点想打女主了。楚楚那么好个女孩，就这么被搞黑化了。。我真的无语，女主换了原女主就一定要变坏吗？楚楚太可怜了。
淡淡忧伤丿淡淡愁,新物种:绿茶diao我是没想到的。。
三斤阿满,呜呜呜这部剧真的好看！！！！！！！！！
只在秋天爱上我,雅尔泰啊
我再熬夜我是猪头,up只看了片段吧，根本没看全部
悦心ming,后期男主人设不错[喜极而泣]
贝特特特,典型的穿越恶女配角，晋江常有的题材，反套路图个乐，不用戴高帽子也不必上纲上线。提乙女的显然是女频文知道得少，也不用骂他们，自己看自己的呗。
blooooow,好好看！！真的好看！！！
好可爱的小言泽,真的挺好看的
专业非酋三十年,标准异世界逆后宫凤傲天呗[无语]
灯火之港的威尔,这不就是晋江的恶毒女配人设类型吗？难怪眼熟
六梨道人,"就这就这就这？
这是b站？"
砚凉_,就是这样的。根本不用脑子，逻辑也不通，剧情。。没啥剧情，人物塑造的也不形象。但两个人很甜，男主更甜，挺上头的，还是推荐看。
Vactor91390,笑点挺足的嗯，就是时常感觉自己收到了降智打击[笑哭]
贝壳爱吃大番茄,反正我看了挺上头的
大骏马哥,不错，这部剧情确实挺有意思。晋江文学网纵横文学网都有这些套路。
豪北道,我喜欢那个弹幕，橙子保命成功，哈哈哈哈
自在如风的我呀,这部剧不尬吗？？
破咯破咯哒,[doge][doge]怎么感觉像在看转生成为了只有乙女游戏破灭Flag的邪恶大小姐（名字是真的长）
我有猫咪,这不就是和现在正火的动漫转生乙女差不多吗
沃夏缭,片片这期视频也有安利到我吧，看起来还是蛮沙雕蛮好笑的[OK]
请叫我乘一,最近四集bug太多，编剧人设崩了，剧本穿成了无脑玛丽苏。希望后面能够恢复前十集的水准啊。[大哭]
月洛布偶,有人有资源吗？[doge]
你们家gg东山再起呀,这不就是个甜宠沙雕网剧吗[微笑]非的跟正剧似的找bug么，可以但是没必要
孤儿怨,从不看国产剧的我 居然也一口气刷了11集 因为演员真的特别可爱 一点都不油腻不夸张 虽然剧情有很多漏洞 但沙雕剧嘛 开心就完了 最喜欢看男主吃瘪的样子 自我攻略真的超好玩hhhh
宫兮徒,哇up主讲的很好诶，后面说的也是言情常见问题了
口口贝夫见,老是不经意认成开封府端午
