名字,性别,时间,评论,点赞数,回复数
B站老矿工,保密,2020-06-05 00:31:18,为什么我要在晚上看这个[大哭],0,0
山鬼ぇぃ,男,2020-06-05 00:31:00,好美,0,0
76416276830_bili,保密,2020-06-05 00:30:31,强,0,0
红灯国王,保密,2020-06-05 00:26:23,很想知道，这女人一天得干多少活啊,0,0
幻想乡的大妖怪,男,2020-06-05 00:24:33,好像娶一个子柒[doge],0,0
XIUMIN的小朋友,保密,2020-06-05 00:21:22,我最爱的土豆！！！！！,0,0
依稀君I,男,2020-06-05 00:21:01,柒姐，我要去你家吃饭！,0,0
一只鱼哈哈,男,2020-06-05 00:19:59,好喜欢你啊😍😍😍😍😍,0,0
大师兄的黑桃King,男,2020-06-05 00:19:43,中秋会出一期做月饼吗？[惊喜],0,0
二時好,保密,2020-06-05 00:18:57,姐姐卖杯子吗？想get同款哈哈哈,0,0
李灿好帅,保密,2020-06-05 00:17:45,看见姐姐手受伤了，以后做事要小心啊[爱心][爱心][爱心],1,0
萝卜雨丝,女,2020-06-05 00:17:20,很喜欢你的视频,0,0
贾黍黍,男,2020-06-05 00:16:34,父亲节快到了，思念土豆丝是李子柒给她天堂的爸爸做的，因为她爸爸爱吃，微博2016年父亲节子柒还特意做了一期土豆丝的视频怀念爸爸，李子柒父母离婚，父亲也很早去了，所以和继母生活了一段时间，可是继母对她并不好，子柒2017年521的微博说到小时候继母把她头按在水沟打，打得半死不活，后来爷爷奶奶看不下去了，把她接了回来一起生活，十几岁爷爷又走了，为了减轻生活负担，年轻的子柒选择进城打工，后来奶奶年纪大了身边缺少人照顾，子柒选择回乡，可生计没着落，在表弟的建议下选择拍古风主题的短视频，前期由于拍出的效果不太好，画质差，观看量少，当她准备放弃的时候，美拍CEO点赞了子柒的视频，并推到热门首页，这极大鼓舞了李子柒创作的热情，后来在朋友的引荐下来到微博发展，作为早期老粉的我看见她一路走来真的不容易，和她合作的公司也不干预她，主动放弃千万广告代言，一心一意做好自己的品牌，是的，她成功了，她本来就很优秀，勤劳，聪慧，孝顺，爱生活，爱学习，有创意，在命运艰难的时刻她没有放弃，而是选择迎难而上。现在李子柒名扬海内外，我发自内心为她感到高兴。,7,0
亦言言言_,保密,2020-06-05 00:13:34,期中考作文就是子柒[笑哭][笑哭]然而这是我第一次看[笑哭][笑哭][笑哭],1,0
霙藻,女,2020-06-05 00:13:20,竟然把我看哭了,0,0
回忘_忧,保密,2020-06-05 00:12:59,看到弹幕说为什么吃这么多也不胖，很简单，看手，干过十几年农活才会有这样的手，看脸是少女，看手是老人，农活的工作量是很大的,2,0
杉木1551,男,2020-06-05 00:10:29,留个足迹,1,0
59286173396_bili,男,2020-06-05 00:10:20,华农姐妹,0,0
1037号胡歌,保密,2020-06-05 00:10:13,最后一杯茶是我的，都别抢[doge],1,0
你的笑靥,男,2020-06-05 00:09:39,厨艺了得,0,0
安树123,男,2020-06-05 00:08:58,对不起 天蚕土豆 一生之敌,0,0
